"Label";"External balance - Contribution to GDP growth - Volumes chained at previous year prices - SA-WDA series";"Codes"
"1967-T3";"-0.16";"A"
"1967-T2";"0.62";"A"
"1967-T1";"-0.14";"A"
"1966-T4";"-0.62";"A"
"1966-T3";"-0.19";"A"
"1966-T2";"-0.08";"A"
"1966-T1";"-0.34";"A"
"1965-T4";"0.13";"A"
"1965-T3";"0.2";"A"
"1965-T2";"-0.01";"A"
"1965-T1";"0.58";"A"
"1964-T4";"0.49";"A"
"1964-T3";"0.13";"A"
"1964-T2";"-0.34";"A"
"1964-T1";"-0.17";"A"
"1963-T4";"-0.65";"A"
"1963-T3";"0.2";"A"
"1963-T2";"-0.67";"A"
"1963-T1";"0.19";"A"
"1962-T4";"0.08";"A"
"1962-T3";"-0.54";"A"
"1962-T2";"0.47";"A"
"1962-T1";"-0.36";"A"
"1961-T4";"-0.49";"A"
"1961-T3";"0.02";"A"
"1961-T2";"-0.19";"A"
"1961-T1";"0.18";"A"
"1960-T4";"-0.04";"A"
"1960-T3";"-0.23";"A"
"1960-T2";"0.25";"A"
"1960-T1";"0.58";"A"
"1959-T4";"-0.19";"A"
"1959-T3";"0.48";"A"
"1959-T2";"0.46";"A"
"1959-T1";"0.14";"A"
"1958-T4";"0.86";"A"
"1958-T3";"0.46";"A"
"1958-T2";"-0.3";"A"
"1958-T1";"0.06";"A"
"1957-T4";"0.49";"A"
"1957-T3";"0.19";"A"
"1957-T2";"0.07";"A"
"1957-T1";"0.15";"A"
"1956-T4";"-0.38";"A"
"1956-T3";"-0.38";"A"
"1956-T2";"-0.61";"A"
"1956-T1";"-0.97";"A"
"1955-T4";"-0.6";"A"
"1955-T3";"-0.15";"A"
"1955-T2";"-0.48";"A"
"1955-T1";"0.09";"A"
"1954-T4";"0.05";"A"
"1954-T3";"0.48";"A"
"1954-T2";"0.19";"A"
"1954-T1";"-0.13";"A"
"1953-T4";"0.8";"A"
"1953-T3";"-0.5";"A"
"1953-T2";"0.1";"A"
"1953-T1";"-0.6";"A"
"1952-T4";"0.3";"A"
"1952-T3";"0.0";"A"
"1952-T2";"0.64";"A"
"1952-T1";"-0.11";"A"
"1951-T4";"-1.28";"A"
"1951-T3";"-0.61";"A"
"1951-T2";"-0.89";"A"
"1951-T1";"-0.44";"A"
"1950-T4";"1.21";"A"
"1950-T3";"0.29";"A"
"1950-T2";"0.79";"A"
"1950-T1";"";"O"
"1949-T4";"";"O"
"1949-T3";"";"O"
"1949-T2";"";"O"
"1949-T1";"";"O"
